주차장명,주소,총 주차면,현재 주차 차량수,"토요일 유,무료 구분명","공휴일 유,무료 구분명",기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),위도,경도
청계6(신평화시장앞) 공영주차장(시),중구 신당동 217-91 0,7,3,무료,유료,450.0,5.0,450.0,5.0,127.0149512,37.5694828
청계6(청평화) 공영주차장(시),중구 신당동 217-91 0,5,3,무료,유료,450.0,5.0,450.0,5.0,127.0149512,37.5694828
청계7가 공영주차장(시),종로구 창신동 436-87,39,15,무료,유료,450.0,5.0,450.0,5.0,127.0162278,37.5699807
청계8가 공영주차장(시),중구 흥인동 162-1 0,9,11,무료,유료,500.0,5.0,500.0,5.0,127.016238,37.5672613
청계8가(남) 공영주차장(시),성동구 상왕십리동 12-47,72,30,무료,유료,450.0,5.0,450.0,5.0,127.0255145,37.5706716
청계8가(북) 공영주차장(시),동대문구 신설동 109-2,31,18,무료,유료,450.0,5.0,450.0,5.0,127.0249697,37.5713616
학여울 공영주차장(시),강남구 대치동 514-1,180,104,무료,무료,260.0,5.0,260.0,5.0,127.0725053,37.497066
한강진역 공영주차장(시),용산구 한남동 728-27,174,158,무료,무료,400.0,5.0,400.0,5.0,127.0025739,37.5395046
해군본부앞 공영주차장(시),영등포구 신길동 812-0,20,9,무료,유료,220.0,5.0,220.0,5.0,126.9211083,37.504323
훈련원공원 공영주차장(시),중구 을지로5가 40-3,873,268,무료,무료,550.0,5.0,550.0,5.0,127.0035423,37.5673989
